README.mdiso3;year;month;fatalities
ALB;2015;3;
ALB;2015;4;
ALB;2015;5;
ALB;2015;6;
ALB;2015;7;
ALB;2015;8;
ALB;2015;9;
ALB;2015;10;
ALB;2015;11;
ALB;2015;12;
ALB;2016;1;
ALB;2016;2;
ALB;2016;3;
ALB;2016;4;
ALB;2016;5;
ALB;2016;6;
ALB;2016;7;
ALB;2016;8;
ALB;2016;9;
ALB;2016;10;
ALB;2016;11;
ALB;2016;12;
ALB;2017;1;
ALB;2017;2;
ALB;2017;3;
ALB;2017;4;
ALB;2017;5;
ALB;2017;6;
ALB;2017;7;
ALB;2017;8;
ALB;2017;9;
ALB;2017;10;
ALB;2017;11;
ALB;2017;12;
ALB;2018;1;
ALB;2018;2;
ALB;2018;3;
ALB;2018;4;
ALB;2018;5;
ALB;2018;6;
ALB;2018;7;
ALB;2018;8;
ALB;2018;9;
ALB;2018;10;
ALB;2018;11;
ALB;2018;12;
ALB;2019;1;
ALB;2019;2;
ALB;2019;3;
ALB;2019;4;
ALB;2019;5;
ALB;2019;6;
ALB;2019;7;
ALB;2019;8;
ALB;2019;9;
ALB;2019;10;
ALB;2019;11;
ALB;2019;12;
ALB;2020;1;
ALB;2020;2;
ALB;2020;3;
ALB;2020;4;
ALB;2020;5;
ALB;2020;6;
ALB;2020;7;
ALB;2020;8;
ALB;2020;9;
ALB;2020;10;
ALB;2020;11;
ALB;2020;12;
ALB;2021;1;
ALB;2021;2;
ALB;2021;3;
ALB;2021;4;
ALB;2021;5;
ALB;2021;6;
ALB;2021;7;
ALB;2021;8;
ALB;2021;9;
ALB;2021;10;
ALB;2021;11;
ALB;2021;12;
ARE;2003;8;
ARE;2003;9;
ARE;2003;10;
ARE;2003;11;
ARE;2003;12;
ARE;2004;1;
ARE;2004;2;
ARE;2004;3;
ARE;2004;4;
ARE;2004;5;
ARE;2004;6;
ARE;2004;7;
ARE;2004;8;
ARE;2004;9;
ARE;2004;10;
ARE;2004;11;
ARE;2004;12;
ARE;2005;1;
ARE;2005;2;
ARE;2005;3;
ARE;2005;4;
ARE;2005;5;
ARE;2005;6;
ARE;2005;7;
ARE;2005;8;
ARE;2005;9;
ARE;2005;10;
ARE;2005;11;
